Gene stable ID,Gene start (bp),Gene end (bp),Gene description,Gene name,Gene type,Chromosome/scaffold name,Strand
ENSMUSG00000002059,78188430,78192193,"RAB34, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:104606]",Rab34,protein_coding,11,1
ENSMUSG00000043448,59175568,59183213,"gap junction protein, gamma 2 [Source:MGI Symbol;Acc:MGI:2153060]",Gjc2,protein_coding,11,-1
ENSMUSG00000020444,59183875,59192212,guanylate kinase 1 [Source:MGI Symbol;Acc:MGI:95871],Guk1,protein_coding,11,-1
ENSMUSG00000059995,102289300,102296631,ataxin 7-like 3 [Source:MGI Symbol;Acc:MGI:3036270],Atxn7l3,protein_coding,11,-1
ENSMUSG00000044122,78193392,78205763,protein interacting with cyclin A1 [Source:MGI Symbol;Acc:MGI:1918274],Proca1,protein_coding,11,1
ENSMUSG00000034708,102430315,102437048,granulin [Source:MGI Symbol;Acc:MGI:95832],Grn,protein_coding,11,1
ENSMUSG00000034685,102436981,102447682,"family with sequence similarity 171, member A2 [Source:MGI Symbol;Acc:MGI:2448496]",Fam171a2,protein_coding,11,-1
ENSMUSG00000085882,59199836,59202385,RIKEN cDNA 2610507I01 gene [Source:MGI Symbol;Acc:MGI:1919453],2610507I01Rik,processed_transcript,11,-1
ENSMUSG00000036860,59202486,59206134,mitochondrial ribosomal protein L55 [Source:MGI Symbol;Acc:MGI:1914462],Mrpl55,protein_coding,11,1
ENSMUSG00000002052,78206746,78245987,suppressor of Ty 6 [Source:MGI Symbol;Acc:MGI:107726],Supt6,protein_coding,11,-1
ENSMUSG00000002064,78245746,78255496,stromal cell derived factor 2 [Source:MGI Symbol;Acc:MGI:108019],Sdf2,protein_coding,11,1
ENSMUSG00000020441,59208321,59210738,RIKEN cDNA 2310033P09 gene [Source:MGI Symbol;Acc:MGI:1915112],2310033P09Rik,protein_coding,11,1
ENSMUSG00000034664,102453297,102470122,integrin alpha 2b [Source:MGI Symbol;Acc:MGI:96601],Itga2b,protein_coding,11,-1
ENSMUSG00000048076,59211412,59228270,ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431],Arf1,protein_coding,11,-1
ENSMUSG00000009900,59248033,59290752,"wingless-type MMTV integration site family, member 3A [Source:MGI Symbol;Acc:MGI:98956]",Wnt3a,protein_coding,11,-1
ENSMUSG00000000126,59306928,59333552,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]",Wnt9a,protein_coding,11,1
ENSMUSG00000020923,102304560,102319742,"upstream binding transcription factor, RNA polymerase I [Source:MGI Symbol;Acc:MGI:98512]",Ubtf,protein_coding,11,-1
ENSMUSG00000049291,59372669,59375657,"protease, serine 38 [Source:MGI Symbol;Acc:MGI:2685095]",Prss38,protein_coding,11,-1
ENSMUSG00000086910,59375461,59379905,predicted gene 15755 [Source:MGI Symbol;Acc:MGI:3783198],Gm15755,antisense_RNA,11,1
ENSMUSG00000009894,59407134,59451186,"synaptosomal-associated protein, 47 [Source:MGI Symbol;Acc:MGI:1915076]",Snap47,protein_coding,11,-1
ENSMUSG00000036819,59450045,59458567,jumonji domain containing 4 [Source:MGI Symbol;Acc:MGI:2144404],Jmjd4,protein_coding,11,1
ENSMUSG00000034621,102475915,102556392,G patch domain containing 8 [Source:MGI Symbol;Acc:MGI:1918667],Gpatch8,protein_coding,11,-1
ENSMUSG00000082487,102492439,102492609,predicted gene 11628 [Source:MGI Symbol;Acc:MGI:3651276],Gm11628,processed_pseudogene,11,-1
ENSMUSG00000081677,102545702,102546022,midkine pseudogene 1 [Source:MGI Symbol;Acc:MGI:103029],Mdk-ps1,processed_pseudogene,11,1
ENSMUSG00000084856,95622660,95629836,predicted gene 11528 [Source:MGI Symbol;Acc:MGI:3649788],Gm11528,lincRNA,11,1
ENSMUSG00000078640,102576398,102579461,predicted gene 11627 [Source:MGI Symbol;Acc:MGI:3650659],Gm11627,protein_coding,11,-1
ENSMUSG00000050288,102604396,102608058,frizzled class receptor 2 [Source:MGI Symbol;Acc:MGI:1888513],Fzd2,protein_coding,11,1
ENSMUSG00000038845,95666957,95680773,prohibitin [Source:MGI Symbol;Acc:MGI:97572],Phb,protein_coding,11,1
ENSMUSG00000086105,102614892,102616546,predicted gene 11636 [Source:MGI Symbol;Acc:MGI:3649522],Gm11636,lincRNA,11,-1
ENSMUSG00000045075,95696894,95699143,predicted gene 9796 [Source:MGI Symbol;Acc:MGI:3648412],Gm9796,lincRNA,11,-1
ENSMUSG00000082981,95761491,95761665,"polymerase (RNA) II (DNA directed) polypeptide K, pseudogene [Source:MGI Symbol;Acc:MGI:3650073]",Polr2k-ps,processed_pseudogene,11,1
ENSMUSG00000018381,95830074,95842476,"ABI gene family, member 3 [Source:MGI Symbol;Acc:MGI:1913860]",Abi3,protein_coding,11,-1
ENSMUSG00000038811,95837216,95845734,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 [Source:MGI Symbol;Acc:MGI:893584]",Gngt2,protein_coding,11,1
ENSMUSG00000050860,95824499,95832140,"phosphatase, orphan 1 [Source:MGI Symbol;Acc:MGI:2447348]",Phospho1,protein_coding,11,1
ENSMUSG00000086586,78278738,78279066,predicted gene 11192 [Source:MGI Symbol;Acc:MGI:3709388],Gm11192,antisense_RNA,11,-1
ENSMUSG00000010277,78261752,78290623,RIKEN cDNA 2610507B11 gene [Source:MGI Symbol;Acc:MGI:1919753],2610507B11Rik,protein_coding,11,1
ENSMUSG00000075595,95712673,95835115,zinc finger protein 652 [Source:MGI Symbol;Acc:MGI:2442221],Zfp652,protein_coding,11,1
ENSMUSG00000086191,95700106,95712754,"zinc finger protein 652, opposite strand [Source:MGI Symbol;Acc:MGI:3044900]",Zfp652os,antisense_RNA,11,-1
ENSMUSG00000054519,59461197,59472474,zinc finger protein 867 [Source:MGI Symbol;Acc:MGI:2681848],Zfp867,protein_coding,11,-1
ENSMUSG00000086283,102619796,102624416,RIKEN cDNA 2810433D01 gene [Source:MGI Symbol;Acc:MGI:1924382],2810433D01Rik,lincRNA,11,-1
ENSMUSG00000080992,102659128,102659925,"proteasome (prosome, macropain) subunit, beta type 5, pseudogene [Source:MGI Symbol;Acc:MGI:1194501]",Psmb5-ps,processed_pseudogene,11,-1
ENSMUSG00000051455,102663716,102682237,meiosis specific with coiled-coil domain [Source:MGI Symbol;Acc:MGI:2686410],Meioc,protein_coding,11,1
ENSMUSG00000084145,59474284,59475765,predicted gene 12263 [Source:MGI Symbol;Acc:MGI:3650086],Gm12263,processed_pseudogene,11,-1
ENSMUSG00000083234,59481973,59482277,predicted gene 12262 [Source:MGI Symbol;Acc:MGI:3650918],Gm12262,processed_pseudogene,11,1
ENSMUSG00000072893,59505662,59513647,RIKEN cDNA 4933439C10 gene [Source:MGI Symbol;Acc:MGI:1921726],4933439C10Rik,processed_transcript,11,1
ENSMUSG00000020472,59485520,59526751,zinc finger with KRAB and SCAN domains 17 [Source:MGI Symbol;Acc:MGI:2679270],Zkscan17,protein_coding,11,-1
ENSMUSG00000020925,102684686,102697782,coiled-coil domain containing 43 [Source:MGI Symbol;Acc:MGI:1289318],Ccdc43,protein_coding,11,-1
ENSMUSG00000084375,102731301,102732063,predicted gene 11637 [Source:MGI Symbol;Acc:MGI:3651875],Gm11637,processed_pseudogene,11,-1
ENSMUSG00000086162,102732405,102752861,predicted gene 16342 [Source:MGI Symbol;Acc:MGI:3840138],Gm16342,unitary_pseudogene,11,1
ENSMUSG00000020926,102761439,102780262,a disintegrin and metallopeptidase domain 11 [Source:MGI Symbol;Acc:MGI:1098667],Adam11,protein_coding,11,1
ENSMUSG00000085578,95858162,95859174,predicted gene 11527 [Source:MGI Symbol;Acc:MGI:3649799],Gm11527,lincRNA,11,-1
ENSMUSG00000086015,95858865,95861044,RIKEN cDNA 4833417C18 gene [Source:MGI Symbol;Acc:MGI:1921156],4833417C18Rik,processed_transcript,11,1
ENSMUSG00000086255,95869154,95876380,predicted gene 11534 [Source:MGI Symbol;Acc:MGI:3650775],Gm11534,antisense_RNA,11,1
ENSMUSG00000013418,95865943,95914891,"beta-1,4-N-acetyl-galactosaminyl transferase 2 [Source:MGI Symbol;Acc:MGI:1342058]",B4galnt2,protein_coding,11,-1
ENSMUSG00000006574,102348824,102366203,"solute carrier family 4 (anion exchanger), member 1 [Source:MGI Symbol;Acc:MGI:109393]",Slc4a1,protein_coding,11,-1
ENSMUSG00000013415,95957163,96005940,insulin-like growth factor 2 mRNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1890357],Igf2bp1,protein_coding,11,-1
ENSMUSG00000099928,96005889,96008055,predicted gene 29202 [Source:MGI Symbol;Acc:MGI:5579908],Gm29202,antisense_RNA,11,1
ENSMUSG00000103376,96006333,96007155,"predicted gene, 37179 [Source:MGI Symbol;Acc:MGI:5610407]",Gm37179,TEC,11,-1
ENSMUSG00000034520,102799579,102819700,"gap junction protein, gamma 1 [Source:MGI Symbol;Acc:MGI:95718]",Gjc1,protein_coding,11,-1
ENSMUSG00000087330,102375549,102377020,"Bloodlinc, erythroid developmental long intergenic non-protein coding transcript [Source:MGI Symbol;Acc:MGI:3650929]",Bloodlinc,lincRNA,11,-1
ENSMUSG00000020928,102835849,102838040,"HIG1 domain family, member 1B [Source:MGI Symbol;Acc:MGI:1922939]",Higd1b,protein_coding,11,1
ENSMUSG00000014351,96024545,96030831,gastric inhibitory polypeptide [Source:MGI Symbol;Acc:MGI:107504],Gip,protein_coding,11,1
ENSMUSG00000006575,102393403,102402555,RUN domain containing 3A [Source:MGI Symbol;Acc:MGI:1858752],Rundc3a,protein_coding,11,1
ENSMUSG00000087059,75794768,75825241,predicted gene 12339 [Source:MGI Symbol;Acc:MGI:3650628],Gm12339,processed_transcript,11,1
ENSMUSG00000020848,75768966,75796049,"double C2, beta [Source:MGI Symbol;Acc:MGI:1100497]",Doc2b,protein_coding,11,-1
ENSMUSG00000020929,102838473,102880985,elongation factor Tu GTP binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1336880],Eftud2,protein_coding,11,-1
ENSMUSG00000020798,72494919,72550506,spinster homolog 3 [Source:MGI Symbol;Acc:MGI:1924827],Spns3,protein_coding,11,-1
ENSMUSG00000087322,75860969,75861494,predicted gene 16075 [Source:MGI Symbol;Acc:MGI:3801977],Gm16075,antisense_RNA,11,1
ENSMUSG00000020847,75830999,75938429,rabphilin 3A-like (without C2 domains) [Source:MGI Symbol;Acc:MGI:1923492],Rph3al,protein_coding,11,-1
ENSMUSG00000081675,72572530,72573330,predicted gene 12712 [Source:MGI Symbol;Acc:MGI:3649929],Gm12712,processed_pseudogene,11,-1
ENSMUSG00000020794,72607283,72686481,ubiquitin-conjugating enzyme E2G 1 [Source:MGI Symbol;Acc:MGI:1914378],Ube2g1,protein_coding,11,1
ENSMUSG00000006058,96034885,96047430,"SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1343161]",Snf8,protein_coding,11,1
ENSMUSG00000087339,102145549,102146246,predicted gene 11586 [Source:MGI Symbol;Acc:MGI:3652099],Gm11586,antisense_RNA,11,-1
ENSMUSG00000048217,102145513,102149477,N-acetylglutamate synthase [Source:MGI Symbol;Acc:MGI:2387600],Nags,protein_coding,11,1
ENSMUSG00000082045,102124072,102124640,predicted gene 11585 [Source:MGI Symbol;Acc:MGI:3651395],Gm11585,processed_pseudogene,11,1
ENSMUSG00000084200,102113249,102113573,predicted gene 11584 [Source:MGI Symbol;Acc:MGI:3651394],Gm11584,processed_pseudogene,11,-1
ENSMUSG00000018899,53770014,53778374,interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590],Irf1,protein_coding,11,1
ENSMUSG00000001123,78962974,78984946,"lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]",Lgals9,protein_coding,11,-1
ENSMUSG00000087668,53111451,53120056,predicted gene 11186 [Source:MGI Symbol;Acc:MGI:3649729],Gm11186,antisense_RNA,11,-1
ENSMUSG00000036264,52764634,53188538,follistatin-like 4 [Source:MGI Symbol;Acc:MGI:2443199],Fstl4,protein_coding,11,1
ENSMUSG00000058073,53200684,53201058,predicted gene 11189 [Source:MGI Symbol;Acc:MGI:3650984],Gm11189,processed_pseudogene,11,1
ENSMUSG00000020361,53259814,53300457,heat shock protein 4 [Source:MGI Symbol;Acc:MGI:1342292],Hspa4,protein_coding,11,-1
ENSMUSG00000018334,79013440,79146407,kinase suppressor of ras 1 [Source:MGI Symbol;Acc:MGI:105051],Ksr1,protein_coding,11,-1
ENSMUSG00000085941,79023597,79031057,predicted gene 11201 [Source:MGI Symbol;Acc:MGI:3649951],Gm11201,antisense_RNA,11,1
ENSMUSG00000043099,75164565,75169519,hypermethylated in cancer 1 [Source:MGI Symbol;Acc:MGI:1338010],Hic1,protein_coding,11,-1
ENSMUSG00000038268,75175942,75178835,candidate tumor suppressor in ovarian cancer 2 [Source:MGI Symbol;Acc:MGI:2179725],Ovca2,protein_coding,11,-1
ENSMUSG00000085609,75172560,75177633,RIKEN cDNA 1700016P03 gene [Source:MGI Symbol;Acc:MGI:1922792],1700016P03Rik,processed_transcript,11,1
ENSMUSG00000078789,75177643,75191241,diphthamide biosynthesis 1 [Source:MGI Symbol;Acc:MGI:2151233],Dph1,protein_coding,11,-1
ENSMUSG00000081769,53783418,53859256,predicted gene 12216 [Source:MGI Symbol;Acc:MGI:3650088],Gm12216,protein_coding,11,-1
ENSMUSG00000018900,53864542,53891660,"solute carrier family 22 (organic cation transporter), member 5 [Source:MGI Symbol;Acc:MGI:1329012]",Slc22a5,protein_coding,11,-1
ENSMUSG00000081000,79212796,79213243,predicted gene 11200 [Source:MGI Symbol;Acc:MGI:3649950],Gm11200,processed_pseudogene,11,1
ENSMUSG00000018239,53324679,53333301,"zinc finger, CCHC domain containing 10 [Source:MGI Symbol;Acc:MGI:1196228]",Zcchc10,protein_coding,11,1
ENSMUSG00000082263,53345290,53345677,predicted gene 11188 [Source:MGI Symbol;Acc:MGI:3652176],Gm11188,processed_pseudogene,11,-1
ENSMUSG00000049470,53350833,53421830,"AF4/FMR2 family, member 4 [Source:MGI Symbol;Acc:MGI:2136171]",Aff4,protein_coding,11,1
ENSMUSG00000082271,53902190,53903568,predicted gene 12217 [Source:MGI Symbol;Acc:MGI:3649337],Gm12217,processed_pseudogene,11,1
ENSMUSG00000082380,53902757,53903155,predicted gene 12218 [Source:MGI Symbol;Acc:MGI:3649336],Gm12218,processed_pseudogene,11,-1
ENSMUSG00000017677,79239372,79254671,WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139],Wsb1,protein_coding,11,-1
ENSMUSG00000081098,53929305,53929476,predicted gene 12220 [Source:MGI Symbol;Acc:MGI:3649331],Gm12220,unprocessed_pseudogene,11,-1
ENSMUSG00000063652,53949965,53980332,"solute carrier family 22 (organic cation transporter), member 21 [Source:MGI Symbol;Acc:MGI:1929481]",Slc22a21,protein_coding,11,-1
ENSMUSG00000080768,53967063,53967505,predicted gene 12219 [Source:MGI Symbol;Acc:MGI:3649338],Gm12219,processed_pseudogene,11,-1
ENSMUSG00000036216,53422181,53423170,liver-expressed antimicrobial peptide 2 [Source:MGI Symbol;Acc:MGI:2672795],Leap2,protein_coding,11,-1
ENSMUSG00000045287,75193783,75267769,reticulon 4 receptor-like 1 [Source:MGI Symbol;Acc:MGI:2661375],Rtn4rl1,protein_coding,11,1
ENSMUSG00000040554,72027963,72037509,aryl hydrocarbon receptor-interacting protein-like 1 [Source:MGI Symbol;Acc:MGI:2148800],Aipl1,protein_coding,11,-1
ENSMUSG00000044894,53427922,53430831,"ubiquinol-cytochrome c reductase, complex III subunit VII [Source:MGI Symbol;Acc:MGI:107807]",Uqcrq,protein_coding,11,-1
ENSMUSG00000000751,75298166,75348324,replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525],Rpa1,protein_coding,11,-1
ENSMUSG00000020808,72042032,72047370,PICALM interacting mitotic regulator [Source:MGI Symbol;Acc:MGI:1924434],Pimreg,protein_coding,11,1
ENSMUSG00000081604,94037218,94037628,predicted gene 11518 [Source:MGI Symbol;Acc:MGI:3650306],Gm11518,processed_pseudogene,11,-1
ENSMUSG00000020859,93996091,94126085,sperm associated antigen 9 [Source:MGI Symbol;Acc:MGI:1918084],Spag9,protein_coding,11,1
ENSMUSG00000108822,79258586,79273893,predicted gene 44787 [Source:MGI Symbol;Acc:MGI:5753363],Gm44787,lincRNA,11,-1
ENSMUSG00000040543,72047528,72135778,PITPNM family member 3 [Source:MGI Symbol;Acc:MGI:2685726],Pitpnm3,protein_coding,11,-1
ENSMUSG00000020334,53983123,54028090,"solute carrier family 22 (organic cation transporter), member 4 [Source:MGI Symbol;Acc:MGI:1353479]",Slc22a4,protein_coding,11,-1
ENSMUSG00000070354,79513385,79530589,ecotropic viral integration site 2 [Source:MGI Symbol;Acc:MGI:5439444],Evi2,protein_coding,11,-1
ENSMUSG00000091523,79481719,79484031,expressed sequence AU040972 [Source:MGI Symbol;Acc:MGI:2144426],AU040972,antisense_RNA,11,-1
ENSMUSG00000082304,79371257,79372230,predicted gene 11198 [Source:MGI Symbol;Acc:MGI:3649956],Gm11198,processed_pseudogene,11,-1
ENSMUSG00000093938,79515056,79523762,ecotropic viral integration site 2b [Source:MGI Symbol;Acc:MGI:1890682],Evi2b,protein_coding,11,-1
ENSMUSG00000082529,79451941,79452447,predicted gene 11199 [Source:MGI Symbol;Acc:MGI:3649957],Gm11199,processed_pseudogene,11,-1
ENSMUSG00000078771,79526560,79530609,ecotropic viral integration site 2a [Source:MGI Symbol;Acc:MGI:95458],Evi2a,protein_coding,11,-1
ENSMUSG00000020716,79339693,79581612,neurofibromin 1 [Source:MGI Symbol;Acc:MGI:97306],Nf1,protein_coding,11,1
ENSMUSG00000018238,53431023,53437904,growth differentiation factor 9 [Source:MGI Symbol;Acc:MGI:95692],Gdf9,protein_coding,11,1
ENSMUSG00000049612,79500982,79504084,oligodendrocyte myelin glycoprotein [Source:MGI Symbol;Acc:MGI:106586],Omg,protein_coding,11,-1
ENSMUSG00000018387,53457205,53467766,shroom family member 1 [Source:MGI Symbol;Acc:MGI:1919024],Shroom1,protein_coding,11,1
ENSMUSG00000085707,53462379,53463613,predicted gene 12212 [Source:MGI Symbol;Acc:MGI:3652263],Gm12212,antisense_RNA,11,-1
ENSMUSG00000020807,72153929,72207459,RIKEN cDNA 4933427D14 gene [Source:MGI Symbol;Acc:MGI:1921727],4933427D14Rik,protein_coding,11,-1
ENSMUSG00000044352,53476573,53480274,sosondowah ankyrin repeat domain family member A [Source:MGI Symbol;Acc:MGI:2687280],Sowaha,protein_coding,11,-1
ENSMUSG00000107877,72203952,72206840,"predicted gene, 43951 [Source:MGI Symbol;Acc:MGI:5690343]",Gm43951,protein_coding,11,-1
ENSMUSG00000018809,75348433,75405705,SET and MYND domain containing 4 [Source:MGI Symbol;Acc:MGI:2442796],Smyd4,protein_coding,11,1
ENSMUSG00000085718,53501184,53501759,"ribosomal protein L9, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3650675]",Rpl9-ps3,processed_pseudogene,11,1
ENSMUSG00000018398,53519257,53549565,septin 8 [Source:MGI Symbol;Acc:MGI:894310],Sept8,protein_coding,11,1
ENSMUSG00000020834,78032280,78037866,dehydrogenase/reductase (SDR family) member 13 [Source:MGI Symbol;Acc:MGI:1917701],Dhrs13,protein_coding,11,1
ENSMUSG00000037791,77982754,78030539,PHD finger protein 12 [Source:MGI Symbol;Acc:MGI:1924057],Phf12,protein_coding,11,1
ENSMUSG00000020803,72207547,72210015,thioredoxin domain containing 17 [Source:MGI Symbol;Acc:MGI:1289248],Txndc17,protein_coding,11,1
ENSMUSG00000087050,78030012,78032665,"dehydrogenase/reductase (SDR family) member 13, opposite strand [Source:MGI Symbol;Acc:MGI:1924478]",Dhrs13os,antisense_RNA,11,-1
ENSMUSG00000000753,75409769,75422701,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]",Serpinf1,protein_coding,11,-1
ENSMUSG00000020801,72211724,72215592,mediator complex subunit 31 [Source:MGI Symbol;Acc:MGI:1914529],Med31,protein_coding,11,-1
ENSMUSG00000053574,72215138,72218450,RIKEN cDNA 4930563E22 gene [Source:MGI Symbol;Acc:MGI:1922554],4930563E22Rik,processed_transcript,11,1
ENSMUSG00000052373,101999652,102028461,"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3) [Source:MGI Symbol;Acc:MGI:1328354]",Mpp3,protein_coding,11,-1
ENSMUSG00000086003,94133485,94155776,RIKEN cDNA B230206L02 gene [Source:MGI Symbol;Acc:MGI:1924598],B230206L02Rik,processed_transcript,11,1
ENSMUSG00000037573,94211454,94215495,transducer of ErbB-2.1 [Source:MGI Symbol;Acc:MGI:1349721],Tob1,protein_coding,11,1
ENSMUSG00000044177,94235956,94246005,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:MGI Symbol;Acc:MGI:2669209]",Wfikkn2,protein_coding,11,-1
ENSMUSG00000020805,72241989,72267222,"solute carrier family 13 (sodium-dependent citrate transporter), member 5 [Source:MGI Symbol;Acc:MGI:3037150]",Slc13a5,protein_coding,11,-1
ENSMUSG00000094091,94281873,94286253,"predicted gene, 21885 [Source:MGI Symbol;Acc:MGI:5434049]",Gm21885,protein_coding,11,1
ENSMUSG00000086951,72266421,72268575,RIKEN cDNA 1700051A21 gene [Source:MGI Symbol;Acc:MGI:1920616],1700051A21Rik,processed_transcript,11,1
ENSMUSG00000086851,53564688,53567313,RIKEN cDNA A430108G06 gene [Source:MGI Symbol;Acc:MGI:2442478],A430108G06Rik,processed_transcript,11,-1
ENSMUSG00000020863,94287890,94321988,LUC7-like 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914934],Luc7l3,protein_coding,11,-1
ENSMUSG00000018395,53567379,53601967,kinesin family member 3A [Source:MGI Symbol;Acc:MGI:107689],Kif3a,protein_coding,11,1
ENSMUSG00000000869,53602982,53618669,interleukin 4 [Source:MGI Symbol;Acc:MGI:96556],Il4,protein_coding,11,-1
ENSMUSG00000087216,102030268,102035084,RIKEN cDNA E130111B04 gene [Source:MGI Symbol;Acc:MGI:1925104],E130111B04Rik,antisense_RNA,11,-1
ENSMUSG00000017309,102041509,102055620,CD300 molecule like family member G [Source:MGI Symbol;Acc:MGI:1289168],Cd300lg,protein_coding,11,1
ENSMUSG00000072902,59002910,59007293,predicted gene 10435 [Source:MGI Symbol;Acc:MGI:3642820],Gm10435,antisense_RNA,11,1
ENSMUSG00000061462,58994256,59136402,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:MGI Symbol;Acc:MGI:2681862]",Obscn,protein_coding,11,-1
ENSMUSG00000085359,75422731,75423340,predicted gene 12336 [Source:MGI Symbol;Acc:MGI:3650722],Gm12336,lincRNA,11,-1
ENSMUSG00000084224,75427753,75428152,predicted gene 12337 [Source:MGI Symbol;Acc:MGI:3650615],Gm12337,processed_pseudogene,11,1
ENSMUSG00000038224,75431732,75439591,"serine (or cysteine) peptidase inhibitor, clade F, member 2 [Source:MGI Symbol;Acc:MGI:107173]",Serpinf2,protein_coding,11,-1
ENSMUSG00000061981,78037931,78060434,flotillin 2 [Source:MGI Symbol;Acc:MGI:103309],Flot2,protein_coding,11,1
ENSMUSG00000020864,94328001,94341841,ankyrin repeat domain 40 [Source:MGI Symbol;Acc:MGI:1918702],Ankrd40,protein_coding,11,1
ENSMUSG00000017314,102057015,102088515,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) [Source:MGI Symbol;Acc:MGI:1858257]",Mpp2,protein_coding,11,-1
ENSMUSG00000085738,75066436,75066762,predicted gene 12335 [Source:MGI Symbol;Acc:MGI:3650727],Gm12335,processed_pseudogene,11,-1
ENSMUSG00000017316,102099930,102101319,pancreatic polypeptide [Source:MGI Symbol;Acc:MGI:97753],Ppy,protein_coding,11,-1
ENSMUSG00000017311,102106676,102107832,peptide YY [Source:MGI Symbol;Acc:MGI:99924],Pyy,protein_coding,11,-1
ENSMUSG00000020873,95384692,95391776,"solute carrier family 35, member B1 [Source:MGI Symbol;Acc:MGI:1343133]",Slc35b1,protein_coding,11,1
ENSMUSG00000038290,74925823,75164448,"Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:2144117]",Smg6,protein_coding,11,1
ENSMUSG00000020832,78073376,78080383,Era (G-protein)-like 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1889295],Eral1,protein_coding,11,-1
ENSMUSG00000045374,75440944,75454717,WD repeat domain 81 [Source:MGI Symbol;Acc:MGI:2681828],Wdr81,protein_coding,11,-1
ENSMUSG00000085765,75036476,75039348,predicted gene 12333 [Source:MGI Symbol;Acc:MGI:3652064],Gm12333,antisense_RNA,11,-1
ENSMUSG00000020865,94343295,94392997,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:MGI Symbol;Acc:MGI:1923658]",Abcc3,protein_coding,11,-1
ENSMUSG00000082481,75070814,75071213,"ribosomal protein S12, pseudogene 19 [Source:MGI Symbol;Acc:MGI:3652063]",Rps12-ps19,processed_pseudogene,11,-1
ENSMUSG00000011148,112620045,112641360,adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947],Adssl1,protein_coding,12,1
ENSMUSG00000083193,111159850,111184491,RIKEN cDNA 4930595D18 gene [Source:MGI Symbol;Acc:MGI:1925312],4930595D18Rik,protein_coding,12,-1
ENSMUSG00000021277,111166370,111267153,TNF receptor-associated factor 3 [Source:MGI Symbol;Acc:MGI:108041],Traf3,protein_coding,12,1
ENSMUSG00000021287,111803192,111813873,X-ray repair complementing defective repair in Chinese hamster cells 3 [Source:MGI Symbol;Acc:MGI:1921585],Xrcc3,protein_coding,12,-1
ENSMUSG00000021288,111758849,111807844,kinesin light chain 1 [Source:MGI Symbol;Acc:MGI:107978],Klc1,protein_coding,12,1
ENSMUSG00000021278,111271095,111276426,amnionless [Source:MGI Symbol;Acc:MGI:1934943],Amn,protein_coding,12,1
ENSMUSG00000097381,111284762,111293988,RIKEN cDNA A230087F16 gene [Source:MGI Symbol;Acc:MGI:2444635],A230087F16Rik,antisense_RNA,12,1
ENSMUSG00000021279,111292976,111377718,CDC42 binding protein kinase beta [Source:MGI Symbol;Acc:MGI:2136459],Cdc42bpb,protein_coding,12,-1
ENSMUSG00000064326,112644679,112649149,"SIVA1, apoptosis-inducing factor [Source:MGI Symbol;Acc:MGI:1353606]",Siva1,protein_coding,12,1
ENSMUSG00000001729,112653821,112674884,thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986],Akt1,protein_coding,12,-1
ENSMUSG00000021286,111814170,111832192,"zinc finger, FYVE domain containing 21 [Source:MGI Symbol;Acc:MGI:1915770]",Zfyve21,protein_coding,12,1
ENSMUSG00000113357,111860626,111861136,"predicted gene, 19195 [Source:MGI Symbol;Acc:MGI:5011380]",Gm19195,processed_pseudogene,12,-1
ENSMUSG00000021285,111828457,111908110,"protein phosphatase 1, regulatory (inhibitor) subunit 13B [Source:MGI Symbol;Acc:MGI:1336199]",Ppp1r13b,protein_coding,12,-1
ENSMUSG00000037638,112678828,112682747,zinc finger and BTB domain containing 42 [Source:MGI Symbol;Acc:MGI:3644133],Zbtb42,protein_coding,12,1
ENSMUSG00000103898,112690986,112693588,"predicted gene, 30238 [Source:MGI Symbol;Acc:MGI:5589397]",Gm30238,TEC,12,-1
ENSMUSG00000072825,112720455,112746592,centrosomal protein 170B [Source:MGI Symbol;Acc:MGI:2145043],Cep170b,protein_coding,12,1
